week_start,partner_id,payment_method,processor,gateway_settled_volume,ledger_booked_volume,unmatched_batches,oldest_unmatched_hours,finance_confidence
2026-01-01,P008,card,processor_b,19961.3,19597.2,2,27.5,needs research
2026-01-01,P008,ach,processor_d,12557.0,12666.88,1,45.5,watch
2026-01-01,P008,card,processor_c,6528.07,6350.78,2,17.6,needs research
2026-01-01,P008,card,processor_b,13400.7,13151.93,0,25.8,watch
2026-01-01,P008,ach,processor_a,16102.11,16013.47,0,51.1,certified
2026-01-08,P001,card,processor_c,148299.23,142602.8,3,27.5,certified
2026-01-08,P001,ach,processor_c,80656.12,77945.74,0,11.5,watch
2026-01-08,P001,card,processor_b,62381.19,58453.24,2,40.0,needs research
2026-01-08,P001,ach,processor_a,31404.53,30976.71,2,67.6,certified
2026-01-08,P001,card,processor_a,64664.1,65398.14,0,35.5,certified
2026-01-08,P001,ach,processor_d,27983.19,28506.39,5,8.5,watch
2026-01-08,P001,card,processor_a,26149.3,28009.53,3,20.1,needs research
2026-01-08,P001,ach,processor_a,14813.85,15043.21,4,19.5,needs research
2026-01-08,P001,card,processor_c,7840.74,8196.07,2,20.9,needs research
2026-01-08,P001,card,processor_b,18222.68,18357.72,3,24.0,certified
2026-01-08,P001,ach,processor_a,14791.55,14885.51,2,25.6,needs research
2026-01-08,P002,card,processor_d,171290.23,163848.14,2,38.2,needs research
2026-01-08,P002,ach,processor_a,71997.43,77785.57,5,40.3,certified
2026-01-08,P002,card,processor_a,51025.49,52246.3,2,37.1,certified
2026-01-08,P002,ach,processor_b,30263.2,30316.1,1,89.9,needs research
2026-01-08,P002,card,processor_d,60250.35,62654.46,0,42.8,certified
2026-01-08,P002,ach,processor_a,36995.27,35217.69,3,42.3,certified
2026-01-08,P002,card,processor_b,21538.18,22239.96,0,40.9,certified
2026-01-08,P002,ach,processor_c,17866.82,17684.25,1,34.8,watch
2026-01-08,P002,card,processor_b,7574.15,7587.3,0,10.5,needs research
2026-01-08,P002,card,processor_a,13038.48,13269.87,1,24.2,needs research
2026-01-08,P002,ach,processor_a,17350.4,16142.54,3,36.2,certified
2026-01-08,P003,card,processor_c,188679.85,198032.67,3,31.2,needs research
2026-01-08,P003,ach,processor_c,94626.05,96081.02,4,45.8,certified
2026-01-08,P003,card,processor_b,62503.11,65916.62,3,13.3,certified
2026-01-08,P003,ach,processor_a,30747.6,28808.16,4,16.6,needs research
2026-01-08,P003,card,processor_c,65161.31,65509.59,0,32.2,watch
2026-01-08,P003,ach,processor_d,34776.55,35499.39,2,58.9,certified
2026-01-08,P003,card,processor_d,32544.04,33116.26,1,36.1,watch
2026-01-08,P003,ach,processor_a,16101.53,15835.12,5,88.5,needs research
2026-01-08,P003,card,processor_c,9119.75,8809.35,2,8.7,needs research
2026-01-08,P003,card,processor_a,21914.65,23304.89,1,37.6,watch
2026-01-08,P003,ach,processor_a,16919.45,17069.82,5,73.7,needs research
2026-01-08,P004,card,processor_a,149226.76,147075.85,2,23.8,certified
2026-01-08,P004,ach,processor_c,49154.48,47984.21,3,70.5,watch
2026-01-08,P004,card,processor_b,48867.49,51051.08,2,24.6,certified
2026-01-08,P004,ach,processor_c,19583.06,19638.97,5,75.4,needs research
2026-01-08,P004,card,processor_a,55936.3,56042.69,0,25.3,needs research
2026-01-08,P004,ach,processor_c,26288.6,24954.3,5,28.2,watch
2026-01-08,P004,card,processor_d,17622.33,17120.72,2,31.6,needs research
2026-01-08,P004,ach,processor_b,9928.61,10216.06,1,64.8,needs research
2026-01-08,P004,card,processor_d,5914.08,6010.74,3,36.1,watch
2026-01-08,P004,card,processor_b,16744.17,16633.35,2,32.6,watch
2026-01-08,P004,ach,processor_c,17503.59,17744.5,3,13.1,certified
2026-01-08,P005,card,processor_b,206363.37,205689.59,0,37.9,watch
2026-01-08,P005,ach,processor_c,107961.89,101369.94,4,58.2,watch
2026-01-08,P005,card,processor_b,59819.97,62396.39,0,10.2,certified
2026-01-08,P005,ach,processor_b,31126.72,30689.67,2,8.7,needs research
2026-01-08,P005,card,processor_c,56674.75,55536.62,0,12.0,certified
2026-01-08,P005,ach,processor_c,38793.15,40596.63,1,81.8,needs research
2026-01-08,P005,card,processor_c,36188.47,36132.45,3,20.5,certified
2026-01-08,P005,ach,processor_c,18661.23,18706.48,2,22.2,needs research
2026-01-08,P005,card,processor_c,7604.59,7610.41,0,12.8,needs research
2026-01-08,P005,card,processor_b,23003.88,23150.61,2,10.6,certified
2026-01-08,P005,ach,processor_b,16722.82,17047.88,2,75.7,needs research
2026-01-08,P006,card,processor_c,119903.3,114818.98,2,5.6,needs research
2026-01-08,P006,ach,processor_c,71034.96,67900.76,2,73.4,needs research
2026-01-08,P006,card,processor_c,38216.92,38480.72,2,16.7,certified
2026-01-08,P006,ach,processor_b,18252.96,18207.19,0,53.1,needs research
2026-01-08,P006,card,processor_a,48034.08,48851.6,3,5.1,needs research
2026-01-08,P006,ach,processor_a,19891.27,19889.21,3,68.5,watch
2026-01-08,P006,card,processor_b,21133.05,20480.63,1,41.4,certified
2026-01-08,P006,ach,processor_d,10236.5,10421.85,1,83.2,watch
2026-01-08,P006,card,processor_a,5381.93,5278.69,2,25.7,certified
2026-01-08,P006,card,processor_d,13460.61,13909.9,1,27.1,needs research
2026-01-08,P006,ach,processor_a,15907.2,16478.26,3,59.5,certified
2026-01-08,P007,card,processor_d,106662.66,112581.53,3,8.0,needs research
2026-01-08,P007,ach,processor_a,52382.13,49815.05,0,75.2,needs research
2026-01-08,P007,card,processor_b,37163.81,38033.11,0,27.5,needs research
2026-01-08,P007,ach,processor_a,15348.0,15420.53,0,55.6,certified
2026-01-08,P007,card,processor_a,39105.75,39681.31,0,38.9,watch
2026-01-08,P007,ach,processor_d,24656.14,24530.8,3,49.6,watch
2026-01-08,P007,card,processor_a,21952.97,20411.45,2,29.2,watch
2026-01-08,P007,ach,processor_c,10677.1,10853.42,1,31.5,needs research
2026-01-08,P007,card,processor_d,5624.83,5787.12,0,25.2,needs research
2026-01-08,P007,card,processor_a,10374.69,10709.85,2,38.1,needs research
2026-01-08,P007,ach,processor_b,15488.87,16519.68,3,50.0,needs research
2026-01-08,P008,card,processor_c,126065.17,121220.8,3,4.5,certified
2026-01-08,P008,ach,processor_c,73066.61,69387.02,3,90.2,needs research
2026-01-08,P008,card,processor_c,40704.47,39670.86,1,34.4,needs research
2026-01-08,P008,ach,processor_c,19271.32,18292.32,1,60.9,certified
2026-01-08,P008,card,processor_b,53357.8,55708.15,2,36.4,watch
2026-01-08,P008,ach,processor_c,28758.58,27343.88,0,51.8,watch
2026-01-08,P008,card,processor_c,26121.71,26341.99,0,30.7,certified
2026-01-08,P008,ach,processor_b,11233.68,10821.91,1,23.7,needs research
2026-01-08,P008,card,processor_a,7509.94,7401.86,1,11.5,needs research
2026-01-08,P008,card,processor_d,15466.23,14931.34,2,40.3,certified
2026-01-08,P008,ach,processor_b,15618.1,16060.85,5,21.2,watch
2026-01-15,P001,card,processor_a,149242.0,155539.12,0,41.7,certified
2026-01-15,P001,ach,processor_a,73323.23,76011.25,5,23.9,needs research
2026-01-15,P001,card,processor_d,59126.61,57474.18,1,21.6,needs research
2026-01-15,P001,ach,processor_c,33648.93,33171.06,1,15.6,watch
2026-01-15,P001,card,processor_b,57928.14,56026.79,0,13.8,certified
2026-01-15,P001,ach,processor_c,29456.08,29387.0,1,39.5,certified
2026-01-15,P001,card,processor_a,31178.57,33238.56,0,41.0,watch
2026-01-15,P001,ach,processor_b,12349.95,13296.96,2,56.4,needs research
2026-01-15,P001,card,processor_a,6604.34,6880.02,3,35.3,watch
2026-01-15,P001,card,processor_b,21181.72,20323.39,1,21.8,needs research
2026-01-15,P001,ach,processor_c,16601.14,15427.58,0,74.2,watch
2026-01-15,P002,card,processor_b,142931.92,152741.61,2,37.1,certified
2026-01-15,P002,ach,processor_a,71960.06,72766.34,2,6.5,watch
2026-01-15,P002,card,processor_b,52338.23,52678.02,3,40.6,needs research
2026-01-15,P002,ach,processor_b,27263.89,27212.26,3,38.6,certified
2026-01-15,P002,card,processor_b,50019.01,52163.53,2,30.9,watch
2026-01-15,P002,ach,processor_c,31634.07,31806.36,4,85.6,needs research
2026-01-15,P002,card,processor_a,25162.7,25110.33,2,11.7,watch
2026-01-15,P002,ach,processor_c,11167.82,11295.98,5,21.0,watch
2026-01-15,P002,card,processor_b,7658.5,7582.06,0,32.4,needs research
2026-01-15,P002,card,processor_a,16149.97,16390.23,1,39.2,needs research
2026-01-15,P002,ach,processor_c,15084.76,15214.56,1,51.4,needs research
2026-01-15,P003,card,processor_b,168363.36,175650.06,2,4.3,needs research
2026-01-15,P003,ach,processor_a,81373.27,85855.25,5,20.5,certified
2026-01-15,P003,card,processor_c,75529.47,75586.47,0,43.7,certified
2026-01-15,P003,ach,processor_a,26626.31,26308.24,5,14.0,watch
2026-01-15,P003,card,processor_b,72449.72,75407.15,3,28.3,certified
2026-01-15,P003,ach,processor_a,35419.38,36456.43,1,53.1,needs research
2026-01-15,P003,card,processor_a,31793.55,33277.43,3,24.3,certified
2026-01-15,P003,ach,processor_c,16194.25,15971.61,5,66.1,watch
2026-01-15,P003,card,processor_b,8406.03,8656.3,2,11.8,certified
2026-01-15,P003,card,processor_d,22141.41,22524.36,1,5.7,watch
2026-01-15,P003,ach,processor_d,19261.74,18929.31,2,9.0,watch
2026-01-15,P004,card,processor_d,149227.5,145241.3,1,19.0,needs research
2026-01-15,P004,ach,processor_b,62413.63,61690.51,1,15.8,needs research
2026-01-15,P004,card,processor_c,42461.39,42950.85,3,29.0,needs research
2026-01-15,P004,ach,processor_d,19323.48,18660.32,0,24.8,needs research
2026-01-15,P004,card,processor_d,61105.23,58614.56,0,17.9,needs research
2026-01-15,P004,ach,processor_a,22653.38,24483.06,4,38.6,needs research
2026-01-15,P004,card,processor_b,20694.78,21568.9,1,35.0,watch
2026-01-15,P004,ach,processor_a,11359.15,10689.32,4,78.9,watch
2026-01-15,P004,card,processor_a,6290.93,6503.17,3,30.6,watch
2026-01-15,P004,card,processor_b,16157.54,16120.95,3,8.3,needs research
2026-01-15,P004,ach,processor_c,16641.04,17406.35,4,77.5,needs research
2026-01-15,P005,card,processor_b,179985.63,172235.32,0,15.4,watch
2026-01-15,P005,ach,processor_d,106429.8,110536.36,5,52.7,watch
2026-01-15,P005,card,processor_d,78184.17,76840.14,2,18.6,needs research
2026-01-15,P005,ach,processor_c,29528.74,27796.38,1,20.6,watch
2026-01-15,P005,card,processor_c,70705.22,68021.03,1,14.9,needs research
2026-01-15,P005,ach,processor_a,37691.46,37484.44,2,17.6,certified
2026-01-15,P005,card,processor_c,37949.55,40077.38,1,42.3,certified
2026-01-15,P005,ach,processor_a,14346.67,14380.41,1,24.8,certified
2026-01-15,P005,card,processor_a,9283.07,9118.64,0,35.9,certified
2026-01-15,P005,card,processor_c,18989.19,18841.29,1,36.0,certified
2026-01-15,P005,ach,processor_d,17983.17,18080.75,3,19.7,certified
2026-01-15,P006,card,processor_a,117459.16,114983.63,2,21.9,certified
2026-01-15,P006,ach,processor_a,69499.5,68680.97,2,78.0,needs research
2026-01-15,P006,card,processor_d,42547.95,43646.8,3,11.4,needs research
2026-01-15,P006,ach,processor_c,21548.62,21780.46,2,63.3,watch
2026-01-15,P006,card,processor_b,48914.13,47226.59,3,28.3,needs research
2026-01-15,P006,ach,processor_b,23868.09,23844.25,3,24.4,certified
2026-01-15,P006,card,processor_a,23153.36,22063.78,3,10.0,watch
2026-01-15,P006,ach,processor_b,10461.06,10916.1,3,62.1,needs research
2026-01-15,P006,card,processor_d,5887.21,6132.32,1,34.5,needs research
2026-01-15,P006,card,processor_a,13610.27,12867.76,1,20.0,needs research
2026-01-15,P006,ach,processor_d,15579.04,15086.22,3,38.8,needs research
2026-01-15,P007,card,processor_b,98459.84,97490.24,2,42.3,needs research
2026-01-15,P007,ach,processor_b,44670.46,43311.78,4,80.2,certified
2026-01-15,P007,card,processor_b,35797.7,35325.15,0,28.5,watch
2026-01-15,P007,ach,processor_c,18373.06,18604.38,3,44.5,certified
2026-01-15,P007,card,processor_c,45435.68,45020.72,0,4.8,certified
2026-01-15,P007,ach,processor_a,20819.92,20039.9,2,43.0,watch
2026-01-15,P007,card,processor_c,16845.31,16734.08,1,4.9,certified
2026-01-15,P007,ach,processor_d,9673.86,10233.26,3,31.7,certified
2026-01-15,P007,card,processor_d,4190.22,4131.65,2,22.8,certified
2026-01-15,P007,card,processor_c,10079.83,10187.32,1,9.0,watch
2026-01-15,P007,ach,processor_b,16290.77,15997.2,2,35.8,certified
2026-01-15,P008,card,processor_c,125088.25,130910.32,1,39.0,needs research
2026-01-15,P008,ach,processor_a,67302.01,63183.6,0,34.1,certified
2026-01-15,P008,card,processor_a,38737.53,39364.28,1,23.4,needs research
2026-01-15,P008,ach,processor_a,27817.38,27223.38,0,77.3,needs research
2026-01-15,P008,card,processor_c,68171.82,65360.65,3,17.0,needs research
2026-01-15,P008,ach,processor_a,30528.69,30475.89,2,48.8,watch
2026-01-15,P008,card,processor_a,22030.83,22577.42,2,37.2,watch
2026-01-15,P008,ach,processor_b,14428.41,14963.08,1,24.6,watch
2026-01-15,P008,card,processor_a,5388.81,5559.77,0,36.2,certified
2026-01-15,P008,card,processor_a,14765.49,15042.92,3,13.0,watch
2026-01-15,P008,ach,processor_b,16434.62,15985.34,1,61.4,watch
2026-01-22,P001,card,processor_d,141152.9,140920.64,3,24.2,needs research
2026-01-22,P001,ach,processor_a,80424.89,80712.9,1,36.8,watch
2026-01-22,P001,card,processor_d,59162.84,57047.33,2,36.6,certified
2026-01-22,P001,ach,processor_b,31186.26,29871.17,5,50.0,watch
2026-01-22,P001,card,processor_c,74904.74,73103.05,3,5.8,certified
2026-01-22,P001,ach,processor_a,36056.49,34959.6,5,85.1,needs research
2026-01-22,P001,card,processor_a,25986.78,26162.81,3,10.3,certified
2026-01-22,P001,ach,processor_c,12435.44,13010.57,2,40.4,needs research
2026-01-22,P001,card,processor_b,8018.64,8294.11,0,13.9,needs research
2026-01-22,P001,card,processor_b,23499.14,23019.92,2,15.6,certified
2026-01-22,P001,ach,processor_a,15138.84,15271.3,0,71.3,watch
2026-01-22,P002,card,processor_c,166861.15,165053.65,2,4.3,certified
2026-01-22,P002,ach,processor_c,73841.95,75755.08,3,48.1,watch
2026-01-22,P002,card,processor_b,47645.52,49079.51,3,26.3,certified
2026-01-22,P002,ach,processor_a,31761.1,32712.17,3,55.7,needs research
2026-01-22,P002,card,processor_a,65106.43,69972.81,2,16.6,needs research
2026-01-22,P002,ach,processor_b,36360.16,36417.85,2,13.3,watch
2026-01-22,P002,card,processor_a,30127.41,28594.87,0,6.5,needs research
2026-01-22,P002,ach,processor_a,13196.19,12966.08,5,63.1,needs research
2026-01-22,P002,card,processor_a,8112.02,7814.08,3,11.5,watch
2026-01-22,P002,card,processor_b,21052.11,21066.96,1,20.9,watch
2026-01-22,P002,ach,processor_b,18371.01,17796.91,3,14.1,watch
2026-01-22,P003,card,processor_a,170972.62,171426.68,1,4.9,needs research
2026-01-22,P003,ach,processor_a,75343.29,74020.22,4,31.4,watch
2026-01-22,P003,card,processor_a,70665.66,70418.33,3,9.0,needs research
2026-01-22,P003,ach,processor_a,33776.54,33380.64,3,43.0,watch
2026-01-22,P003,card,processor_c,64370.89,67915.96,3,42.6,needs research
2026-01-22,P003,ach,processor_b,34417.48,34578.22,3,62.1,certified
2026-01-22,P003,card,processor_d,30376.14,29270.87,1,43.4,needs research
2026-01-22,P003,ach,processor_b,13910.61,13677.79,0,70.6,certified
2026-01-22,P003,card,processor_b,7731.37,8009.26,3,31.6,watch
2026-01-22,P003,card,processor_a,24627.8,24385.68,1,31.5,watch
2026-01-22,P003,ach,processor_d,15273.85,16214.58,1,85.8,needs research
2026-01-22,P004,card,processor_b,116517.53,119007.62,3,33.0,watch
2026-01-22,P004,ach,processor_c,69075.95,67043.46,4,10.1,watch
2026-01-22,P004,card,processor_a,55328.83,53287.46,2,16.9,watch
2026-01-22,P004,ach,processor_b,29343.35,31125.46,5,51.4,watch
2026-01-22,P004,card,processor_d,57124.42,54047.23,1,24.9,certified
2026-01-22,P004,ach,processor_a,32723.24,32460.62,2,35.6,watch
2026-01-22,P004,card,processor_a,23609.22,22492.23,3,26.6,needs research
2026-01-22,P004,ach,processor_a,11505.06,11774.21,2,87.8,certified
2026-01-22,P004,card,processor_d,6039.62,5795.25,1,35.1,needs research
2026-01-22,P004,card,processor_a,15261.65,16398.0,1,40.5,needs research
2026-01-22,P004,ach,processor_b,14568.16,15751.61,5,91.3,certified
2026-01-22,P005,card,processor_c,185899.1,180557.49,1,16.3,needs research
2026-01-22,P005,ach,processor_a,79793.16,82051.86,2,37.3,certified
2026-01-22,P005,card,processor_c,69132.02,67220.42,3,22.5,needs research
2026-01-22,P005,ach,processor_a,26107.72,26041.27,0,61.9,watch
2026-01-22,P005,card,processor_a,89492.39,86160.53,1,21.0,watch
2026-01-22,P005,ach,processor_a,37355.76,36367.06,0,54.2,certified
2026-01-22,P005,card,processor_b,27959.38,27162.36,1,39.4,certified
2026-01-22,P005,ach,processor_b,19244.57,19374.07,0,49.4,certified
2026-01-22,P005,card,processor_a,8492.9,8138.25,0,42.1,certified
2026-01-22,P005,card,processor_c,20438.4,20418.78,3,16.1,watch
2026-01-22,P005,ach,processor_c,17537.35,16735.27,2,28.3,needs research
2026-01-22,P006,card,processor_c,107062.92,106639.18,3,5.7,certified
2026-01-22,P006,ach,processor_a,67199.56,63294.11,5,56.7,needs research
2026-01-22,P006,card,processor_b,45168.34,46169.35,2,10.3,needs research
2026-01-22,P006,ach,processor_b,27717.22,27913.39,0,12.8,certified
2026-01-22,P006,card,processor_d,46188.73,47544.66,0,36.8,certified
2026-01-22,P006,ach,processor_b,28368.98,28093.43,0,33.6,certified
2026-01-22,P006,card,processor_c,22738.07,22977.38,0,24.7,certified
2026-01-22,P006,ach,processor_a,12161.75,12563.75,3,81.2,needs research
2026-01-22,P006,card,processor_a,6832.44,6389.4,3,32.3,certified
2026-01-22,P006,card,processor_c,16817.61,15646.04,1,41.5,needs research
2026-01-22,P006,ach,processor_d,16746.09,17124.74,4,28.7,watch
2026-01-22,P007,card,processor_b,116888.84,122467.24,2,8.5,needs research
2026-01-22,P007,ach,processor_a,46043.71,48435.54,4,70.3,watch
2026-01-22,P007,card,processor_c,30802.81,31724.6,3,13.9,watch
2026-01-22,P007,ach,processor_c,16197.83,15762.12,0,12.7,watch
2026-01-22,P007,card,processor_d,40089.38,38225.78,0,40.3,watch
2026-01-22,P007,ach,processor_c,17747.98,17775.36,3,87.8,watch
2026-01-22,P007,card,processor_b,15934.31,15782.25,1,42.0,certified
2026-01-22,P007,ach,processor_b,11042.18,11054.04,4,8.3,needs research
2026-01-22,P007,card,processor_b,4792.12,4878.41,1,41.2,needs research
2026-01-22,P007,card,processor_b,12244.45,12249.05,1,43.7,needs research
2026-01-22,P007,ach,processor_c,15518.23,15644.65,4,12.8,needs research
2026-01-22,P008,card,processor_b,111495.43,115959.64,0,6.4,watch
2026-01-22,P008,ach,processor_a,66176.26,63770.42,3,40.5,watch
2026-01-22,P008,card,processor_b,47940.81,49376.11,0,6.9,certified
2026-01-22,P008,ach,processor_c,22559.25,22077.29,2,16.9,watch
2026-01-22,P008,card,processor_b,48831.64,49021.08,3,34.2,certified
2026-01-22,P008,ach,processor_d,30720.76,29739.46,4,22.6,needs research
2026-01-22,P008,card,processor_a,28068.13,28613.2,3,11.0,certified
2026-01-22,P008,ach,processor_a,13816.56,13742.98,3,56.1,watch
2026-01-22,P008,card,processor_c,5139.05,5253.08,1,19.9,certified
2026-01-22,P008,card,processor_c,15701.73,15802.85,0,9.4,needs research
2026-01-22,P008,ach,processor_a,15056.51,15652.08,4,68.2,certified
2026-01-29,P001,card,processor_a,170209.18,163070.38,1,39.6,needs research
2026-01-29,P001,ach,processor_d,88848.72,89700.23,3,39.5,certified
2026-01-29,P001,card,processor_b,75605.73,71293.21,3,4.3,watch
2026-01-29,P001,ach,processor_b,30610.93,30918.49,1,82.1,certified
2026-01-29,P001,card,processor_a,71717.62,69027.94,2,14.1,certified
2026-01-29,P001,ach,processor_c,37851.29,37229.91,0,81.9,watch
2026-01-29,P001,card,processor_b,29935.67,31365.68,3,29.2,certified
2026-01-29,P001,ach,processor_a,13362.22,13014.75,3,82.8,watch
2026-01-29,P001,card,processor_c,7176.41,7203.41,2,32.2,certified
2026-01-29,P001,card,processor_b,18214.57,18450.27,1,17.0,needs research
2026-01-29,P001,ach,processor_a,15628.89,16578.59,2,79.7,certified
2026-01-29,P002,card,processor_a,172077.48,178981.51,0,8.9,needs research
2026-01-29,P002,ach,processor_c,70522.33,69904.0,0,14.1,needs research
2026-01-29,P002,card,processor_a,60219.48,57366.76,1,37.2,watch
2026-01-29,P002,ach,processor_a,32590.5,32401.25,3,73.4,needs research
2026-01-29,P002,card,processor_b,47925.89,47088.77,2,14.9,certified
2026-01-29,P002,ach,processor_d,31630.34,30799.81,0,83.5,watch
2026-01-29,P002,card,processor_a,29446.39,30233.88,3,26.8,watch
2026-01-29,P002,ach,processor_b,15335.47,14241.88,4,77.7,watch
2026-01-29,P002,card,processor_a,7077.59,6991.17,2,32.7,certified
2026-01-29,P002,card,processor_c,16005.73,15559.7,1,6.2,needs research
2026-01-29,P002,ach,processor_c,16810.14,16271.0,4,51.7,needs research
2026-01-29,P003,card,processor_b,136203.47,128389.3,0,12.8,watch
2026-01-29,P003,ach,processor_c,79626.04,82287.64,2,63.8,certified
