date,partner_id,partner_segment,channel,payment_method,processor,transaction_count,gross_volume,net_revenue,authorization_rate,capture_rate,decline_rate,return_rate,chargeback_rate,gateway_latency_ms,settlement_delay_hours,reconciliation_variance,data_quality_score
2026-01-01,P002,Core,online,tokenized_card,processor_b,20,1544.24,8.65,0.9384,0.9207,0.0427,0.0048,0.0018,545,31.6,1.48,95.5
2026-01-01,P002,Core,in_app,card,processor_b,149,7575.94,46.97,0.9,0.8836,0.0644,0.0054,0.0022,445,28.1,6.77,93.9
2026-01-01,P002,Core,in_app,ach,processor_d,37,3870.8,18.19,0.9212,0.9156,0.0427,0.0187,0.0056,481,59.2,1.31,94.0
2026-01-01,P002,Core,in_app,p2p,processor_d,19,593.92,3.33,0.9116,0.9017,0.0656,0.0079,0.0023,552,40.1,0.53,95.1
2026-01-01,P002,Core,in_app,wallet,processor_b,36,1722.44,9.65,0.9353,0.922,0.0463,0.0034,0.0056,391,15.3,1.84,95.7
2026-01-01,P002,Core,in_app,tokenized_card,processor_b,18,1058.22,5.93,0.9415,0.9355,0.0318,0.0009,0.0052,453,22.0,-0.86,94.8
2026-01-01,P002,Core,in_store,card,processor_a,176,7213.29,44.72,0.9102,0.8982,0.052,0.0045,0.0024,218,36.5,1.95,93.0
2026-01-01,P002,Core,in_store,ach,processor_c,37,3752.31,17.64,0.9403,0.9354,0.0364,0.0212,0.005,313,55.7,3.56,92.2
2026-01-01,P002,Core,in_store,p2p,processor_c,28,712.2,3.99,0.9245,0.9194,0.0432,0.0096,0.0024,321,15.4,0.99,93.8
2026-01-01,P002,Core,in_store,wallet,processor_a,49,1931.91,10.82,0.9459,0.9391,0.0198,0.0053,0.0039,271,32.5,0.21,95.0
2026-01-01,P002,Core,in_store,tokenized_card,processor_c,18,932.15,5.22,0.9622,0.9488,0.006,0.0026,0.0026,290,14.6,-0.36,94.5
2026-01-01,P002,Core,mobile,card,processor_b,89,3730.33,23.13,0.8883,0.88,0.0759,0.003,0.0031,618,23.6,-1.48,94.3
2026-01-01,P002,Core,mobile,ach,processor_a,20,1589.99,7.47,0.9492,0.9437,0.0286,0.0174,0.0043,387,45.6,-0.46,96.4
2026-01-01,P002,Core,mobile,p2p,processor_a,18,431.78,2.42,0.9137,0.9018,0.0644,0.0094,0.0043,388,36.4,-0.03,94.8
2026-01-01,P002,Core,mobile,wallet,processor_d,26,802.34,4.49,0.9082,0.8951,0.072,0.0074,0.0017,555,33.4,0.74,94.2
2026-01-01,P002,Core,mobile,tokenized_card,processor_b,18,847.67,4.75,0.9402,0.9299,0.0396,0.0027,0.002,472,24.8,0.41,94.9
2026-01-01,P002,Core,unattended,card,processor_d,51,932.66,5.78,0.888,0.8826,0.0748,0.0019,0.0008,764,28.8,0.73,95.0
2026-01-01,P002,Core,unattended,wallet,processor_c,18,314.79,1.76,0.9294,0.9238,0.0413,0.0036,0.0031,586,21.1,-0.24,95.8
2026-01-01,P002,Core,unattended,tokenized_card,processor_c,18,317.04,1.78,0.9609,0.9552,0.006,0.0031,0.0052,539,16.0,0.12,92.9
2026-01-01,P002,Core,recurring,card,processor_d,38,2107.47,13.07,0.8963,0.8918,0.0665,0.0056,0.0039,516,43.6,1.52,94.3
2026-01-01,P002,Core,recurring,ach,processor_a,18,2240.26,10.53,0.9486,0.9329,0.0175,0.0209,0.0015,366,35.7,2.82,92.4
2026-01-01,P002,Core,recurring,wallet,processor_c,18,940.12,5.26,0.9381,0.9263,0.0397,0.0043,0.0008,450,24.1,0.68,94.9
2026-01-01,P002,Core,recurring,tokenized_card,processor_a,18,1135.85,6.36,0.9395,0.9301,0.0321,0.0004,0.0039,332,25.6,0.52,94.2
2026-01-01,P003,Strategic,online,card,processor_a,329,25665.6,159.13,0.9061,0.8965,0.055,0.0063,0.0056,382,33.7,22.49,92.9
2026-01-01,P003,Strategic,online,ach,processor_a,70,10903.76,51.25,0.9387,0.9245,0.0279,0.0215,0.0043,296,40.2,-1.66,93.8
2026-01-01,P003,Strategic,online,p2p,processor_c,41,2161.82,12.11,0.9307,0.9177,0.0293,0.0104,0.0063,519,16.6,-1.69,96.0
2026-01-01,P003,Strategic,online,wallet,processor_a,69,3980.66,22.29,0.9406,0.9283,0.0343,0.0038,0.0045,302,36.0,0.98,97.0
2026-01-01,P003,Strategic,online,tokenized_card,processor_b,27,2373.74,13.29,0.9479,0.9361,0.0136,0.0028,0.0021,499,15.9,0.22,96.9
2026-01-01,P003,Strategic,in_app,card,processor_a,175,9961.14,61.76,0.9002,0.8872,0.0654,0.0068,0.0033,269,20.7,11.88,94.5
2026-01-01,P003,Strategic,in_app,ach,processor_a,37,4091.01,19.23,0.9392,0.926,0.034,0.017,0.0042,315,57.8,3.78,94.4
2026-01-01,P003,Strategic,in_app,p2p,processor_c,19,714.29,4.0,0.9168,0.912,0.053,0.0121,0.0047,419,15.1,0.07,95.8
2026-01-01,P003,Strategic,in_app,wallet,processor_a,36,1642.32,9.2,0.924,0.9193,0.0465,0.0051,0.0044,278,30.9,-1.3,93.0
2026-01-01,P003,Strategic,in_app,tokenized_card,processor_a,18,1101.18,6.17,0.9505,0.9421,0.0191,0.0058,0.0054,325,32.9,1.39,92.1
2026-01-01,P003,Strategic,in_store,card,processor_a,197,8045.2,49.88,0.9184,0.9102,0.0555,0.0038,0.001,214,24.1,9.79,93.9
2026-01-01,P003,Strategic,in_store,ach,processor_d,53,4488.21,21.09,0.9325,0.9172,0.0351,0.0197,0.003,381,83.2,0.16,95.7
2026-01-01,P003,Strategic,in_store,p2p,processor_a,28,846.94,4.74,0.9337,0.9262,0.039,0.0102,0.0039,214,16.0,-0.46,92.4
2026-01-01,P003,Strategic,in_store,wallet,processor_a,54,1843.21,10.32,0.9493,0.9401,0.0149,0.0028,0.001,253,37.2,-1.29,95.6
2026-01-01,P003,Strategic,in_store,tokenized_card,processor_b,19,882.29,4.94,0.9361,0.9282,0.0454,0.0034,0.0029,368,26.0,-0.46,94.7
2026-01-01,P003,Strategic,mobile,card,processor_a,106,3924.27,24.33,0.9041,0.8931,0.0603,0.0021,0.004,331,23.8,-0.19,94.8
2026-01-01,P003,Strategic,mobile,ach,processor_b,26,2317.46,10.89,0.9472,0.931,0.0141,0.0195,0.004,501,56.2,-1.96,96.2
2026-01-01,P003,Strategic,mobile,p2p,processor_a,18,452.61,2.53,0.913,0.8977,0.0658,0.0083,0.0034,311,25.0,0.36,93.5
2026-01-01,P003,Strategic,mobile,wallet,processor_d,25,917.51,5.14,0.9136,0.9022,0.0468,0.005,0.0038,518,25.3,-0.34,92.9
2026-01-01,P003,Strategic,mobile,tokenized_card,processor_a,18,803.97,4.5,0.9468,0.9354,0.0318,0.0004,0.0028,367,17.6,0.74,93.5
2026-01-01,P003,Strategic,unattended,card,processor_b,63,1236.93,7.67,0.8996,0.8849,0.0802,0.0048,0.0021,747,31.9,0.59,93.9
2026-01-01,P003,Strategic,unattended,wallet,processor_c,18,253.55,1.42,0.9182,0.9034,0.0456,0.0062,0.003,487,20.0,0.32,90.8
2026-01-01,P003,Strategic,unattended,tokenized_card,processor_b,18,389.52,2.18,0.9565,0.9399,0.006,0.0023,0.002,742,30.3,-0.27,95.4
2026-01-01,P003,Strategic,recurring,card,processor_d,42,2642.07,16.38,0.899,0.8921,0.0767,0.006,0.0042,575,33.6,-1.72,96.3
2026-01-01,P003,Strategic,recurring,ach,processor_a,18,2561.3,12.04,0.9596,0.9491,0.006,0.0184,0.0043,372,42.0,1.01,93.5
2026-01-01,P003,Strategic,recurring,wallet,processor_c,18,993.01,5.56,0.9353,0.9278,0.0421,0.008,0.0028,485,28.1,1.34,94.5
2026-01-01,P003,Strategic,recurring,tokenized_card,processor_b,18,1218.1,6.82,0.9396,0.9252,0.0398,0.0052,0.0008,587,31.9,1.41,93.2
2026-01-01,P004,Strategic,online,card,processor_a,238,18954.56,117.52,0.9041,0.8937,0.0706,0.0041,0.0046,347,29.6,7.67,97.0
2026-01-01,P004,Strategic,online,ach,processor_a,53,7964.9,37.44,0.9591,0.9425,0.0211,0.0213,0.0012,292,64.5,7.28,93.5
2026-01-01,P004,Strategic,online,p2p,processor_a,34,1660.45,9.3,0.9269,0.9177,0.051,0.0116,0.0048,333,31.9,1.33,95.5
2026-01-01,P004,Strategic,online,wallet,processor_c,63,3745.64,20.98,0.9254,0.9192,0.0499,0.006,0.0012,373,33.0,3.0,94.2
2026-01-01,P004,Strategic,online,tokenized_card,processor_b,21,1801.36,10.09,0.9396,0.9252,0.0381,0.005,0.0064,546,30.1,1.96,94.4
2026-01-01,P004,Strategic,in_app,card,processor_d,130,6381.42,39.56,0.8991,0.8944,0.0816,0.0052,0.0054,520,51.2,4.5,92.8
2026-01-01,P004,Strategic,in_app,ach,processor_a,32,3422.95,16.09,0.9378,0.928,0.029,0.0167,0.0045,344,47.4,4.52,92.7
2026-01-01,P004,Strategic,in_app,p2p,processor_b,18,567.54,3.18,0.9255,0.9107,0.0418,0.0108,0.0024,512,37.3,-0.39,95.8
2026-01-01,P004,Strategic,in_app,wallet,processor_b,28,1372.73,7.69,0.9331,0.9206,0.0358,0.0075,0.0033,444,24.6,-0.23,95.9
2026-01-01,P004,Strategic,in_app,tokenized_card,processor_a,18,915.66,5.13,0.9602,0.945,0.0154,0.0052,0.0054,284,31.9,-0.33,94.0
2026-01-01,P004,Strategic,in_store,card,processor_b,148,6333.38,39.27,0.9123,0.9016,0.064,0.0042,0.0059,428,21.0,3.0,95.1
2026-01-01,P004,Strategic,in_store,ach,processor_c,43,3739.22,17.57,0.9405,0.9325,0.0186,0.0182,0.0047,269,46.2,-0.49,96.0
2026-01-01,P004,Strategic,in_store,p2p,processor_c,24,630.56,3.53,0.9204,0.9076,0.0503,0.0125,0.005,259,15.5,-0.56,91.6
2026-01-01,P004,Strategic,in_store,wallet,processor_c,36,1447.37,8.11,0.9376,0.9306,0.0368,0.0066,0.0015,317,14.6,1.05,92.8
2026-01-01,P004,Strategic,in_store,tokenized_card,processor_b,18,839.7,4.7,0.9482,0.9428,0.0133,0.0012,0.0022,310,17.1,-0.53,95.6
2026-01-01,P004,Strategic,mobile,card,processor_a,73,2935.6,18.2,0.9194,0.9028,0.0613,0.0015,0.002,377,16.3,3.31,92.2
2026-01-01,P004,Strategic,mobile,ach,processor_b,19,1593.45,7.49,0.9291,0.9224,0.0313,0.0182,0.0039,626,46.5,0.39,95.6
2026-01-01,P004,Strategic,mobile,p2p,processor_a,18,439.92,2.46,0.9156,0.9054,0.0501,0.0114,0.0045,410,30.2,-0.1,96.6
2026-01-01,P004,Strategic,mobile,wallet,processor_a,20,618.99,3.47,0.9292,0.9221,0.0392,0.0053,0.0022,364,15.4,0.06,94.4
2026-01-01,P004,Strategic,mobile,tokenized_card,processor_b,18,745.16,4.17,0.9381,0.932,0.0213,0.0028,0.0014,573,28.6,-0.56,94.9
2026-01-01,P004,Strategic,unattended,card,processor_a,42,734.07,4.55,0.9066,0.8897,0.0665,0.0028,0.0028,502,15.8,0.99,95.2
2026-01-01,P004,Strategic,unattended,wallet,processor_b,18,272.07,1.52,0.9156,0.8981,0.0634,0.0024,0.0006,752,36.7,-0.2,92.7
2026-01-01,P004,Strategic,unattended,tokenized_card,processor_a,18,356.74,2.0,0.9536,0.9375,0.0164,0.0046,0.0051,412,14.3,0.1,93.6
2026-01-01,P004,Strategic,recurring,card,processor_b,33,2156.59,13.37,0.9092,0.9041,0.0711,0.0062,0.0036,455,19.4,1.46,96.1
2026-01-01,P004,Strategic,recurring,ach,processor_a,18,2325.3,10.93,0.9618,0.9527,0.018,0.0219,0.002,305,57.0,0.11,95.2
2026-01-01,P004,Strategic,recurring,wallet,processor_a,18,990.04,5.54,0.9404,0.9305,0.0382,0.0043,0.006,343,32.2,-0.38,93.0
2026-01-01,P004,Strategic,recurring,tokenized_card,processor_a,18,1112.97,6.23,0.9452,0.9354,0.0141,0.0024,0.0059,318,21.2,1.43,93.2
2026-01-01,P005,Growth,online,card,processor_a,307,21051.46,130.52,0.9163,0.9023,0.0479,0.0066,0.0068,377,17.7,-4.63,94.4
2026-01-01,P005,Growth,online,ach,processor_a,74,10767.75,50.61,0.9414,0.9286,0.0301,0.0216,0.0018,408,72.1,14.1,92.0
2026-01-01,P005,Growth,online,p2p,processor_d,50,2136.07,11.96,0.9041,0.8914,0.0649,0.0083,0.0069,568,37.0,2.53,95.0
2026-01-01,P005,Growth,online,wallet,processor_a,86,5009.64,28.05,0.9336,0.9264,0.0314,0.0029,0.007,403,28.7,6.44,91.2
2026-01-01,P005,Growth,online,tokenized_card,processor_c,24,1936.66,10.85,0.9384,0.9258,0.0246,0.0032,0.0086,430,28.0,1.91,92.9
2026-01-01,P005,Growth,in_app,card,processor_c,158,7889.68,48.92,0.9102,0.8953,0.0564,0.0059,0.0043,437,14.1,6.27,93.6
2026-01-01,P005,Growth,in_app,ach,processor_b,46,5054.14,23.75,0.9371,0.9294,0.0449,0.0201,0.0009,462,60.7,-2.09,96.7
2026-01-01,P005,Growth,in_app,p2p,processor_d,21,654.05,3.66,0.8991,0.8942,0.0778,0.0129,0.0026,472,42.6,0.62,95.9
2026-01-01,P005,Growth,in_app,wallet,processor_a,42,1872.76,10.49,0.9455,0.9299,0.0168,0.0057,0.0008,305,25.3,2.28,95.2
2026-01-01,P005,Growth,in_app,tokenized_card,processor_a,18,1135.17,6.36,0.9631,0.9515,0.0173,0.0056,0.004,353,19.4,-0.58,94.7
2026-01-01,P005,Growth,in_store,card,processor_b,262,10341.92,64.12,0.8882,0.88,0.0761,0.005,0.005,426,31.9,12.84,93.8
2026-01-01,P005,Growth,in_store,ach,processor_d,55,5466.43,25.69,0.9289,0.9207,0.0358,0.0187,0.0008,435,45.0,-0.61,96.1
2026-01-01,P005,Growth,in_store,p2p,processor_d,28,788.73,4.42,0.908,0.8958,0.0687,0.0103,0.0008,404,44.0,-0.45,93.5
2026-01-01,P005,Growth,in_store,wallet,processor_b,54,1928.71,10.8,0.9311,0.9173,0.0316,0.0077,0.002,350,36.0,0.37,93.8
2026-01-01,P005,Growth,in_store,tokenized_card,processor_d,19,927.08,5.19,0.9362,0.9288,0.0359,0.0002,0.0008,450,38.6,0.39,95.1
2026-01-01,P005,Growth,mobile,card,processor_b,130,5463.31,33.87,0.9016,0.8864,0.0764,0.0017,0.0052,550,16.8,7.03,95.0
2026-01-01,P005,Growth,mobile,ach,processor_d,23,1954.68,9.19,0.9333,0.9244,0.0314,0.0217,0.0044,693,71.5,-0.42,95.6
2026-01-01,P005,Growth,mobile,p2p,processor_b,18,468.53,2.62,0.9303,0.922,0.0336,0.0111,0.0044,453,30.2,0.16,97.3
2026-01-01,P005,Growth,mobile,wallet,processor_a,28,1040.85,5.83,0.9424,0.926,0.0249,0.0027,0.0019,329,25.5,1.03,95.7
2026-01-01,P005,Growth,mobile,tokenized_card,processor_a,18,715.35,4.01,0.9461,0.9314,0.0148,0.0037,0.001,401,31.5,0.59,95.5
2026-01-01,P005,Growth,unattended,card,processor_c,68,1228.24,7.62,0.9111,0.8997,0.0652,0.0023,0.0032,484,30.6,-0.14,97.4
2026-01-01,P005,Growth,unattended,wallet,processor_a,18,298.36,1.67,0.9303,0.915,0.0411,0.0069,0.0043,499,17.2,0.04,93.7
2026-01-01,P005,Growth,unattended,tokenized_card,processor_c,18,336.26,1.88,0.955,0.943,0.0142,0.0045,0.005,609,17.6,-0.03,95.8
2026-01-01,P005,Growth,recurring,card,processor_b,52,3062.67,18.99,0.9035,0.8863,0.0657,0.0014,0.0036,406,20.3,-0.33,94.7
2026-01-01,P005,Growth,recurring,ach,processor_b,18,2319.12,10.9,0.9516,0.9377,0.0114,0.02,0.0017,562,44.9,3.22,94.3
2026-01-01,P005,Growth,recurring,wallet,processor_b,18,886.44,4.96,0.9223,0.9144,0.0397,0.0021,0.0053,467,31.5,0.97,95.3
2026-01-01,P005,Growth,recurring,tokenized_card,processor_d,18,1260.72,7.06,0.9306,0.9188,0.0391,0.0001,0.0015,514,39.1,1.33,93.5
2026-01-01,P006,Growth,online,card,processor_a,203,16186.77,100.36,0.9191,0.9094,0.0539,0.0022,0.0076,337,31.9,-12.21,92.3
2026-01-01,P006,Growth,online,ach,processor_a,44,7781.49,36.57,0.9364,0.9235,0.0397,0.0191,0.008,370,50.8,-3.69,94.7
2026-01-01,P006,Growth,online,p2p,processor_c,28,1448.3,8.11,0.9338,0.9273,0.0433,0.009,0.0077,475,21.0,-0.1,94.9
2026-01-01,P006,Growth,online,wallet,processor_b,62,4285.19,24.0,0.9212,0.9172,0.0517,0.0029,0.0048,570,37.0,5.95,94.7
2026-01-01,P006,Growth,online,tokenized_card,processor_b,20,1695.68,9.5,0.9329,0.9283,0.0431,0.0,0.0054,475,21.9,-0.95,94.6
2026-01-01,P006,Growth,in_app,card,processor_b,116,5662.52,35.11,0.9095,0.9048,0.0594,0.0015,0.0026,540,18.4,-4.01,96.5
2026-01-01,P006,Growth,in_app,ach,processor_b,24,2724.02,12.8,0.9253,0.9141,0.0357,0.0187,0.0044,401,56.5,-1.57,93.0
2026-01-01,P006,Growth,in_app,p2p,processor_b,18,666.08,3.73,0.9173,0.8994,0.0633,0.0103,0.0036,501,32.3,0.6,92.8
2026-01-01,P006,Growth,in_app,wallet,processor_a,31,1453.22,8.14,0.9283,0.9107,0.0523,0.0051,0.0015,304,36.4,-0.29,94.2
2026-01-01,P006,Growth,in_app,tokenized_card,processor_c,18,952.24,5.33,0.9413,0.9337,0.0383,0.0036,0.0035,340,18.3,-0.39,96.8
2026-01-01,P006,Growth,in_store,card,processor_b,144,6542.9,40.57,0.9145,0.9072,0.0662,0.0056,0.0009,411,19.5,1.14,96.3
2026-01-01,P006,Growth,in_store,ach,processor_d,32,2705.31,12.71,0.9251,0.9124,0.034,0.0206,0.0032,386,54.7,0.56,96.5
2026-01-01,P006,Growth,in_store,p2p,processor_a,21,563.34,3.15,0.9323,0.9181,0.0462,0.0107,0.0022,267,33.2,0.11,95.6
2026-01-01,P006,Growth,in_store,wallet,processor_a,36,1213.18,6.79,0.937,0.9295,0.0237,0.008,0.0033,240,22.1,1.32,93.6
2026-01-01,P006,Growth,in_store,tokenized_card,processor_a,18,838.26,4.69,0.9522,0.945,0.0113,0.0038,0.0054,285,35.7,0.07,95.7
2026-01-01,P006,Growth,mobile,card,processor_b,68,2966.37,18.39,0.9006,0.8881,0.064,0.006,0.0017,560,21.3,-0.11,93.8
2026-01-01,P006,Growth,mobile,ach,processor_d,18,1593.31,7.49,0.9232,0.9143,0.0392,0.0164,0.0033,626,82.7,1.54,92.8
2026-01-01,P006,Growth,mobile,p2p,processor_d,18,464.78,2.6,0.9133,0.9073,0.0534,0.0123,0.0007,647,48.4,-0.38,91.9
2026-01-01,P006,Growth,mobile,wallet,processor_d,20,692.09,3.88,0.9086,0.8978,0.0637,0.004,0.0053,544,32.1,-0.22,96.8
2026-01-01,P006,Growth,mobile,tokenized_card,processor_a,18,690.78,3.87,0.9483,0.9382,0.0192,0.0047,0.0043,360,21.2,0.62,92.8
2026-01-01,P006,Growth,unattended,card,processor_c,48,858.08,5.32,0.8914,0.88,0.0887,0.0027,0.0052,670,37.3,-0.27,92.9
2026-01-01,P006,Growth,unattended,wallet,processor_d,18,283.15,1.59,0.9336,0.9233,0.039,0.0056,0.0041,764,34.8,0.35,94.4
2026-01-01,P006,Growth,unattended,tokenized_card,processor_a,18,329.97,1.85,0.9523,0.9367,0.0157,0.003,0.0035,417,27.1,0.08,94.0
2026-01-01,P006,Growth,recurring,card,processor_c,31,2078.66,12.89,0.9137,0.9025,0.0578,0.0031,0.003,477,31.7,0.12,97.9
2026-01-01,P006,Growth,recurring,ach,processor_c,18,2291.73,10.77,0.9545,0.9434,0.0183,0.0187,0.0037,411,57.4,-1.3,94.6
2026-01-01,P006,Growth,recurring,wallet,processor_c,18,1008.03,5.64,0.9398,0.9256,0.0297,0.0027,0.0038,485,32.1,0.92,94.8
2026-01-01,P006,Growth,recurring,tokenized_card,processor_b,18,1174.0,6.57,0.957,0.9506,0.0073,0.0034,0.0043,512,22.8,-0.41,95.0
2026-01-01,P007,Watch,online,card,processor_a,204,14493.54,89.86,0.913,0.8978,0.0667,0.0048,0.0063,366,26.4,2.77,93.1
2026-01-01,P007,Watch,online,ach,processor_a,47,7382.16,34.7,0.9519,0.945,0.0266,0.0212,0.0074,317,63.6,10.16,91.3
2026-01-01,P007,Watch,online,p2p,processor_d,21,1008.54,5.65,0.923,0.9185,0.0549,0.009,0.002,508,35.2,0.78,95.9
2026-01-01,P007,Watch,online,wallet,processor_b,52,3603.3,20.18,0.9232,0.9144,0.0498,0.0069,0.0073,562,23.2,-0.97,95.8
2026-01-01,P007,Watch,online,tokenized_card,processor_d,18,1502.41,8.41,0.9479,0.9386,0.0239,0.0054,0.0077,592,40.3,-0.26,95.3
2026-01-01,P007,Watch,in_app,card,processor_c,106,6004.74,37.23,0.8961,0.8801,0.069,0.0069,0.0024,438,19.2,0.75,94.2
2026-01-01,P007,Watch,in_app,ach,processor_b,24,2738.15,12.87,0.942,0.9281,0.033,0.0176,0.0033,438,48.7,-0.46,94.4
2026-01-01,P007,Watch,in_app,p2p,processor_a,18,615.23,3.45,0.9244,0.9083,0.0488,0.0092,0.0052,312,23.1,-0.37,93.9
2026-01-01,P007,Watch,in_app,wallet,processor_b,25,1247.43,6.99,0.9401,0.9356,0.0374,0.0065,0.0011,450,35.2,0.16,95.5
2026-01-01,P007,Watch,in_app,tokenized_card,processor_b,18,978.14,5.48,0.9566,0.9411,0.006,0.0051,0.0015,463,22.7,0.08,93.8
2026-01-01,P007,Watch,in_store,card,processor_b,126,5317.25,32.97,0.9085,0.8992,0.0587,0.0057,0.0037,390,34.2,4.37,95.9
2026-01-01,P007,Watch,in_store,ach,processor_c,29,2684.09,12.62,0.9311,0.9238,0.0384,0.0214,0.0036,344,44.9,-1.17,96.6
2026-01-01,P007,Watch,in_store,p2p,processor_a,18,486.05,2.72,0.9385,0.9314,0.0268,0.0088,0.0035,273,27.2,0.1,94.3
2026-01-01,P007,Watch,in_store,wallet,processor_a,36,1317.34,7.38,0.9288,0.9187,0.0425,0.0074,0.0035,228,26.2,1.77,92.8
2026-01-01,P007,Watch,in_store,tokenized_card,processor_a,18,804.52,4.51,0.9525,0.9381,0.0072,0.001,0.0017,236,23.0,0.39,95.7
2026-01-01,P007,Watch,mobile,card,processor_b,53,2068.75,12.83,0.8976,0.8834,0.0819,0.002,0.0009,516,30.3,1.08,96.1
2026-01-01,P007,Watch,mobile,ach,processor_a,18,1511.89,7.11,0.9356,0.9257,0.0448,0.0179,0.0024,331,53.9,1.92,93.2
2026-01-01,P007,Watch,mobile,p2p,processor_d,18,476.3,2.67,0.9034,0.8903,0.0626,0.0107,0.0015,521,39.8,-0.04,97.5
2026-01-01,P007,Watch,mobile,wallet,processor_b,18,646.21,3.62,0.9409,0.9355,0.0283,0.004,0.0026,643,23.1,0.49,93.2
