incident_id,opened_date,partner_id,channel,payment_method,processor,issue_type,severity,estimated_transactions_at_risk,estimated_volume_at_risk,owner,status
INC0091,2026-01-20,P007,mobile,ach,processor_a,missing webhook,low,6,120.41,support operations,monitoring
INC0092,2026-01-20,P008,in_app,card,processor_a,ledger variance,low,33,1234.62,data insights,monitoring
INC0093,2026-01-21,P004,in_app,wallet,processor_a,ledger variance,low,4,107.36,data insights,triage
INC0094,2026-01-21,P006,in_store,card,processor_a,duplicate transaction event,low,49,1312.72,data insights,triage
INC0095,2026-01-21,P006,mobile,ach,processor_c,ACH return spike,medium,6,410.65,support operations,monitoring
INC0096,2026-01-21,P007,in_store,wallet,processor_a,ACH return spike,medium,4,108.74,support operations,triage
INC0097,2026-01-21,P007,mobile,wallet,processor_d,ACH return spike,medium,6,48.88,product engineering,monitoring
INC0098,2026-01-22,P002,recurring,card,processor_b,duplicate transaction event,medium,15,640.41,product engineering,monitoring
INC0099,2026-01-22,P003,unattended,card,processor_b,duplicate transaction event,medium,9,243.48,support operations,fix queued
INC0100,2026-01-22,P005,in_app,ach,processor_a,duplicate transaction event,medium,11,416.56,finance operations,triage
INC0101,2026-01-23,P003,in_app,ach,processor_a,missing webhook,medium,13,932.42,data insights,root cause found
INC0102,2026-01-23,P006,mobile,wallet,processor_a,ledger variance,low,4,63.99,data insights,root cause found
INC0103,2026-01-23,P007,online,ach,processor_d,batch settlement delay,low,8,1123.87,data insights,root cause found
INC0104,2026-01-23,P007,recurring,ach,processor_c,duplicate transaction event,low,1,128.42,finance operations,fix queued
INC0105,2026-01-23,P008,in_store,card,processor_c,processor latency,low,27,997.79,product engineering,monitoring
INC0106,2026-01-24,P001,in_store,ach,processor_c,duplicate transaction event,low,6,506.39,data insights,root cause found
INC0107,2026-01-24,P003,in_store,ach,processor_a,batch settlement delay,medium,12,428.4,data insights,fix queued
INC0108,2026-01-24,P004,in_store,tokenized_card,processor_d,ACH return spike,low,2,122.85,finance operations,root cause found
INC0109,2026-01-24,P005,mobile,ach,processor_a,ledger variance,low,2,206.17,product engineering,triage
INC0110,2026-01-24,P008,unattended,wallet,processor_c,duplicate transaction event,medium,6,40.83,support operations,monitoring
INC0111,2026-01-25,P005,in_app,card,processor_a,ledger variance,low,38,539.95,finance operations,monitoring
INC0112,2026-01-25,P007,recurring,tokenized_card,processor_c,batch settlement delay,medium,2,246.09,data insights,monitoring
INC0113,2026-01-25,P008,mobile,p2p,processor_c,ledger variance,medium,1,44.21,finance operations,fix queued
INC0114,2026-01-26,P001,online,card,processor_d,processor latency,medium,34,708.18,data insights,fix queued
INC0115,2026-01-26,P005,in_app,p2p,processor_a,ACH return spike,medium,3,29.1,support operations,monitoring
INC0116,2026-01-26,P005,recurring,wallet,processor_c,batch settlement delay,medium,3,64.52,product engineering,root cause found
INC0117,2026-01-26,P006,mobile,tokenized_card,processor_a,duplicate transaction event,low,2,127.97,data insights,fix queued
INC0118,2026-01-26,P006,recurring,ach,processor_a,processor latency,low,3,360.3,support operations,fix queued
INC0119,2026-01-27,P002,in_store,tokenized_card,processor_b,duplicate transaction event,low,4,73.81,data insights,root cause found
INC0120,2026-01-28,P001,unattended,card,processor_a,processor latency,medium,15,101.59,data insights,monitoring
INC0121,2026-01-28,P006,in_store,ach,processor_a,duplicate transaction event,medium,11,145.0,finance operations,fix queued
INC0122,2026-01-28,P007,unattended,card,processor_c,processor latency,medium,4,144.88,support operations,triage
INC0123,2026-01-31,P001,online,ach,processor_b,duplicate transaction event,medium,14,950.66,finance operations,fix queued
INC0124,2026-01-31,P001,online,wallet,processor_a,ACH return spike,medium,14,208.42,data insights,monitoring
INC0125,2026-01-31,P001,in_app,p2p,processor_c,duplicate transaction event,low,5,38.91,support operations,fix queued
INC0126,2026-01-31,P004,recurring,ach,processor_d,batch settlement delay,low,4,434.84,product engineering,monitoring
INC0127,2026-01-31,P008,unattended,wallet,processor_b,processor latency,medium,6,44.12,product engineering,triage
INC0128,2026-02-01,P002,in_app,wallet,processor_c,missing webhook,medium,6,231.96,support operations,triage
INC0129,2026-02-01,P005,in_store,card,processor_b,missing webhook,medium,47,596.59,data insights,fix queued
INC0130,2026-02-01,P007,online,tokenized_card,processor_b,ACH return spike,low,5,244.76,finance operations,root cause found
INC0131,2026-02-01,P008,in_app,wallet,processor_a,missing webhook,medium,7,141.73,product engineering,triage
INC0132,2026-02-02,P002,recurring,ach,processor_c,missing webhook,low,2,443.59,finance operations,monitoring
INC0133,2026-02-03,P001,recurring,card,processor_c,processor latency,medium,6,329.44,product engineering,root cause found
INC0134,2026-02-03,P002,online,p2p,processor_c,batch settlement delay,medium,5,363.72,product engineering,monitoring
INC0135,2026-02-03,P005,in_store,wallet,processor_a,ACH return spike,low,13,410.24,data insights,root cause found
INC0136,2026-02-03,P006,online,p2p,processor_c,batch settlement delay,medium,5,235.46,finance operations,fix queued
INC0137,2026-02-03,P006,mobile,p2p,processor_a,duplicate transaction event,medium,1,95.79,finance operations,monitoring
INC0138,2026-02-03,P007,online,card,processor_d,ledger variance,low,17,1337.72,support operations,root cause found
INC0139,2026-02-04,P001,mobile,p2p,processor_a,duplicate transaction event,medium,2,56.74,finance operations,fix queued
INC0140,2026-02-04,P002,in_store,card,processor_b,missing webhook,low,49,1164.29,data insights,fix queued
INC0141,2026-02-04,P006,in_store,p2p,processor_c,ACH return spike,medium,6,94.34,product engineering,fix queued
INC0142,2026-02-05,P003,in_store,wallet,processor_c,processor latency,medium,15,300.46,support operations,root cause found
INC0143,2026-02-05,P005,unattended,card,processor_a,ACH return spike,low,12,92.65,product engineering,root cause found
INC0144,2026-02-05,P007,in_app,card,processor_c,processor latency,low,23,688.59,product engineering,root cause found
INC0145,2026-02-06,P002,in_app,tokenized_card,processor_a,batch settlement delay,low,4,104.38,finance operations,monitoring
INC0146,2026-02-06,P003,online,tokenized_card,processor_b,duplicate transaction event,low,4,326.32,product engineering,fix queued
INC0147,2026-02-06,P004,in_store,ach,processor_b,ACH return spike,low,5,133.39,product engineering,fix queued
INC0148,2026-02-06,P005,in_store,tokenized_card,processor_a,duplicate transaction event,low,2,150.08,finance operations,monitoring
INC0149,2026-02-06,P005,recurring,ach,processor_c,processor latency,low,1,495.62,data insights,fix queued
INC0150,2026-02-06,P006,mobile,p2p,processor_b,ACH return spike,medium,2,18.2,support operations,triage
INC0151,2026-02-06,P007,in_app,p2p,processor_a,missing webhook,low,4,140.42,finance operations,monitoring
INC0152,2026-02-07,P004,unattended,tokenized_card,processor_c,processor latency,medium,6,57.08,support operations,root cause found
INC0153,2026-02-07,P005,in_store,p2p,processor_a,missing webhook,low,9,121.71,product engineering,triage
INC0154,2026-02-07,P005,recurring,wallet,processor_a,missing webhook,medium,2,66.93,support operations,triage
INC0155,2026-02-07,P008,online,card,processor_a,processor latency,low,62,2298.59,data insights,root cause found
INC0156,2026-02-07,P008,in_store,ach,processor_a,processor latency,medium,10,125.2,product engineering,root cause found
INC0157,2026-02-08,P001,recurring,wallet,processor_b,ledger variance,low,2,134.83,data insights,root cause found
INC0158,2026-02-08,P006,online,tokenized_card,processor_b,missing webhook,low,4,144.23,product engineering,monitoring
INC0159,2026-02-09,P001,in_store,card,processor_b,batch settlement delay,low,45,978.3,support operations,fix queued
INC0160,2026-02-09,P001,mobile,card,processor_a,batch settlement delay,low,25,362.35,finance operations,triage
INC0161,2026-02-09,P005,in_app,tokenized_card,processor_b,processor latency,medium,6,94.35,support operations,monitoring
INC0162,2026-02-09,P007,mobile,card,processor_d,duplicate transaction event,low,10,464.21,support operations,root cause found
INC0163,2026-02-09,P008,online,ach,processor_c,ledger variance,low,11,1557.72,data insights,triage
INC0164,2026-02-10,P001,in_app,wallet,processor_b,ledger variance,medium,6,310.43,product engineering,monitoring
INC0165,2026-02-10,P001,mobile,tokenized_card,processor_a,duplicate transaction event,medium,4,146.7,support operations,monitoring
INC0166,2026-02-10,P002,recurring,wallet,processor_c,ACH return spike,low,6,39.59,finance operations,triage
INC0167,2026-02-10,P004,online,tokenized_card,processor_b,duplicate transaction event,low,3,155.9,data insights,root cause found
INC0168,2026-02-10,P005,unattended,wallet,processor_b,duplicate transaction event,low,6,56.67,data insights,triage
INC0169,2026-02-10,P005,recurring,card,processor_a,ledger variance,low,6,770.27,finance operations,monitoring
INC0170,2026-02-10,P007,recurring,tokenized_card,processor_c,missing webhook,low,3,131.24,data insights,root cause found
INC0171,2026-02-10,P008,in_app,wallet,processor_a,ACH return spike,medium,3,267.6,finance operations,root cause found
INC0172,2026-02-10,P008,recurring,ach,processor_a,processor latency,medium,5,508.26,finance operations,root cause found
INC0173,2026-02-11,P002,online,wallet,processor_b,processor latency,low,9,487.55,support operations,root cause found
INC0174,2026-02-11,P004,in_store,tokenized_card,processor_d,processor latency,medium,2,87.53,finance operations,monitoring
INC0175,2026-02-11,P005,in_app,p2p,processor_a,duplicate transaction event,low,5,35.37,data insights,root cause found
INC0176,2026-02-12,P005,online,wallet,processor_a,batch settlement delay,medium,6,425.66,data insights,fix queued
INC0177,2026-02-12,P008,in_store,p2p,processor_a,missing webhook,medium,7,62.1,finance operations,triage
INC0178,2026-02-13,P001,unattended,card,processor_c,ACH return spike,medium,12,65.89,finance operations,monitoring
INC0179,2026-02-13,P002,unattended,card,processor_c,ledger variance,low,10,82.95,support operations,monitoring
INC0180,2026-02-13,P003,in_store,tokenized_card,processor_a,duplicate transaction event,medium,3,83.22,finance operations,triage
INC0181,2026-02-13,P006,mobile,wallet,processor_a,ACH return spike,low,4,65.89,finance operations,triage
INC0182,2026-02-13,P008,in_app,card,processor_c,processor latency,low,18,564.45,product engineering,root cause found
INC0183,2026-02-14,P003,in_store,ach,processor_b,processor latency,low,10,179.51,product engineering,triage
INC0184,2026-02-14,P003,in_store,tokenized_card,processor_b,ACH return spike,low,6,69.01,finance operations,root cause found
INC0185,2026-02-14,P003,mobile,ach,processor_c,batch settlement delay,low,4,315.06,support operations,triage
INC0186,2026-02-14,P005,recurring,card,processor_a,ledger variance,low,9,477.11,finance operations,monitoring
INC0187,2026-02-14,P006,in_app,ach,processor_b,ledger variance,medium,4,184.41,finance operations,root cause found
INC0188,2026-02-14,P007,in_app,p2p,processor_d,processor latency,low,2,108.89,data insights,fix queued
INC0189,2026-02-14,P007,recurring,ach,processor_a,ledger variance,medium,5,196.74,data insights,fix queued
INC0190,2026-02-15,P002,in_store,ach,processor_b,ACH return spike,low,3,233.22,support operations,triage
INC0191,2026-02-15,P003,mobile,p2p,processor_c,processor latency,low,5,45.97,product engineering,root cause found
INC0192,2026-02-15,P004,in_app,card,processor_b,batch settlement delay,low,9,425.47,support operations,triage
INC0193,2026-02-15,P007,in_store,wallet,processor_c,missing webhook,medium,4,59.16,support operations,monitoring
INC0194,2026-02-16,P001,unattended,wallet,processor_a,batch settlement delay,low,4,59.14,support operations,triage
INC0195,2026-02-16,P004,online,card,processor_d,duplicate transaction event,medium,42,2874.62,support operations,monitoring
INC0196,2026-02-16,P005,mobile,p2p,processor_a,ledger variance,low,1,83.69,finance operations,monitoring
INC0197,2026-02-16,P007,in_app,p2p,processor_a,processor latency,medium,3,30.19,support operations,triage
INC0198,2026-02-16,P007,mobile,card,processor_b,processor latency,low,3,295.15,product engineering,monitoring
INC0199,2026-02-17,P001,unattended,tokenized_card,processor_b,ACH return spike,medium,4,43.87,data insights,fix queued
INC0200,2026-02-17,P007,online,p2p,processor_d,processor latency,low,7,135.64,data insights,fix queued
INC0201,2026-02-18,P001,online,tokenized_card,processor_a,missing webhook,medium,8,410.05,data insights,triage
INC0202,2026-02-18,P002,mobile,wallet,processor_a,duplicate transaction event,low,2,50.03,finance operations,root cause found
INC0203,2026-02-18,P007,in_store,p2p,processor_d,processor latency,low,2,49.27,finance operations,root cause found
INC0204,2026-02-19,P001,mobile,wallet,processor_b,processor latency,low,8,172.9,data insights,monitoring
INC0205,2026-02-19,P004,mobile,p2p,processor_a,batch settlement delay,medium,3,26.78,product engineering,triage
INC0206,2026-02-19,P006,recurring,wallet,processor_a,batch settlement delay,medium,2,124.55,finance operations,root cause found
INC0207,2026-02-19,P008,mobile,card,processor_a,ledger variance,medium,18,522.96,data insights,root cause found
INC0208,2026-02-20,P004,online,tokenized_card,processor_a,ACH return spike,medium,3,268.32,support operations,fix queued
INC0209,2026-02-20,P004,in_store,wallet,processor_d,duplicate transaction event,low,9,154.12,product engineering,triage
INC0210,2026-02-20,P005,online,card,processor_b,missing webhook,medium,47,2513.23,product engineering,fix queued
INC0211,2026-02-20,P005,in_store,wallet,processor_c,batch settlement delay,low,4,313.72,data insights,triage
INC0212,2026-02-20,P006,in_store,ach,processor_b,ledger variance,medium,6,508.18,finance operations,root cause found
INC0213,2026-02-21,P001,in_app,card,processor_c,ledger variance,medium,24,972.26,product engineering,fix queued
INC0214,2026-02-21,P001,unattended,tokenized_card,processor_a,ledger variance,low,2,51.95,product engineering,monitoring
INC0215,2026-02-21,P002,online,tokenized_card,processor_d,batch settlement delay,low,3,276.0,data insights,fix queued
INC0216,2026-02-21,P002,mobile,ach,processor_c,ACH return spike,low,4,136.98,data insights,monitoring
INC0217,2026-02-21,P004,in_app,tokenized_card,processor_a,processor latency,low,2,162.83,support operations,triage
INC0218,2026-02-21,P006,in_store,card,processor_b,ledger variance,low,45,257.97,support operations,fix queued
INC0219,2026-02-21,P008,in_store,p2p,processor_c,processor latency,medium,6,54.81,product engineering,root cause found
INC0220,2026-02-21,P008,unattended,tokenized_card,processor_b,ACH return spike,medium,5,34.46,data insights,triage
INC0221,2026-02-22,P006,in_store,card,processor_a,ledger variance,low,15,598.92,data insights,root cause found
INC0222,2026-02-23,P002,in_app,ach,processor_c,missing webhook,medium,3,733.39,data insights,fix queued
INC0223,2026-02-23,P005,in_app,ach,processor_b,ledger variance,low,8,582.32,data insights,root cause found
INC0224,2026-02-23,P007,mobile,wallet,processor_a,ACH return spike,low,3,84.97,finance operations,root cause found
INC0225,2026-02-24,P001,in_store,p2p,processor_c,ACH return spike,medium,5,55.62,product engineering,fix queued
INC0226,2026-02-24,P003,online,card,processor_c,duplicate transaction event,medium,75,5220.21,data insights,triage
INC0227,2026-02-24,P007,online,tokenized_card,processor_c,processor latency,low,4,312.68,finance operations,triage
INC0228,2026-02-25,P002,in_store,ach,processor_c,processor latency,low,6,625.25,finance operations,fix queued
INC0229,2026-02-25,P004,in_store,tokenized_card,processor_a,ACH return spike,low,3,79.52,finance operations,root cause found
INC0230,2026-02-25,P005,recurring,tokenized_card,processor_c,missing webhook,medium,5,236.69,product engineering,triage
INC0231,2026-02-26,P002,online,p2p,processor_c,missing webhook,low,5,108.8,finance operations,triage
INC0232,2026-02-26,P004,in_store,wallet,processor_b,ledger variance,medium,13,99.04,data insights,monitoring
INC0233,2026-02-27,P001,recurring,wallet,processor_c,ACH return spike,medium,6,58.41,product engineering,monitoring
INC0234,2026-02-27,P002,online,wallet,processor_c,batch settlement delay,low,15,620.92,data insights,triage
INC0235,2026-02-27,P006,online,p2p,processor_a,ACH return spike,medium,4,93.49,finance operations,root cause found
INC0236,2026-02-27,P006,in_app,tokenized_card,processor_c,duplicate transaction event,low,3,244.8,product engineering,triage
INC0237,2026-02-28,P001,in_store,ach,processor_d,ACH return spike,high,9,722.58,support operations,fix queued
INC0238,2026-02-28,P003,recurring,ach,processor_d,ACH return spike,high,3,462.24,product engineering,fix queued
INC0239,2026-02-28,P004,in_store,ach,processor_d,duplicate transaction event,high,8,661.56,product engineering,triage
INC0240,2026-03-01,P001,recurring,wallet,processor_c,ledger variance,medium,6,108.21,data insights,fix queued
INC0241,2026-03-01,P002,online,wallet,processor_c,ACH return spike,low,15,421.01,data insights,monitoring
INC0242,2026-03-01,P002,in_app,card,processor_a,ACH return spike,medium,36,473.76,product engineering,fix queued
INC0243,2026-03-01,P002,recurring,ach,processor_d,duplicate transaction event,high,6,330.13,data insights,triage
INC0244,2026-03-01,P003,recurring,wallet,processor_a,processor latency,medium,4,206.28,data insights,fix queued
INC0245,2026-03-01,P004,in_app,ach,processor_d,duplicate transaction event,high,8,290.14,product engineering,monitoring
INC0246,2026-03-01,P004,in_store,wallet,processor_d,batch settlement delay,low,4,157.89,support operations,triage
INC0247,2026-03-01,P006,mobile,p2p,processor_c,processor latency,medium,2,60.77,product engineering,root cause found
INC0248,2026-03-01,P008,online,ach,processor_d,duplicate transaction event,high,8,505.28,data insights,monitoring
INC0249,2026-03-01,P008,in_store,ach,processor_d,missing webhook,high,7,609.99,product engineering,fix queued
INC0250,2026-03-01,P008,mobile,tokenized_card,processor_c,duplicate transaction event,medium,2,128.58,support operations,fix queued
INC0251,2026-03-02,P001,mobile,ach,processor_d,missing webhook,high,3,315.64,support operations,triage
INC0252,2026-03-02,P002,online,ach,processor_d,missing webhook,high,8,985.54,data insights,monitoring
INC0253,2026-03-02,P002,unattended,card,processor_b,processor latency,medium,10,149.3,support operations,triage
INC0254,2026-03-02,P003,online,ach,processor_b,missing webhook,medium,8,753.62,product engineering,monitoring
INC0255,2026-03-02,P003,recurring,ach,processor_d,duplicate transaction event,high,3,538.74,product engineering,triage
INC0256,2026-03-02,P005,in_app,tokenized_card,processor_d,ledger variance,medium,4,56.96,support operations,root cause found
INC0257,2026-03-02,P007,recurring,ach,processor_b,duplicate transaction event,low,3,143.28,data insights,root cause found
INC0258,2026-03-02,P008,in_app,wallet,processor_a,missing webhook,medium,7,175.44,finance operations,root cause found
INC0259,2026-03-02,P008,in_app,tokenized_card,processor_a,batch settlement delay,medium,4,110.12,finance operations,monitoring
INC0260,2026-03-03,P001,in_store,ach,processor_d,ACH return spike,high,5,527.49,support operations,root cause found
INC0261,2026-03-03,P003,online,wallet,processor_b,ledger variance,low,14,441.12,product engineering,fix queued
INC0262,2026-03-03,P003,in_app,p2p,processor_c,duplicate transaction event,low,4,88.09,support operations,triage
INC0263,2026-03-03,P003,mobile,ach,processor_b,ACH return spike,low,9,350.44,support operations,monitoring
INC0264,2026-03-03,P005,in_store,tokenized_card,processor_b,batch settlement delay,medium,2,82.03,support operations,monitoring
INC0265,2026-03-03,P005,mobile,ach,processor_d,missing webhook,high,9,463.26,data insights,monitoring
INC0266,2026-03-03,P006,unattended,card,processor_c,batch settlement delay,low,12,153.98,product engineering,monitoring
INC0267,2026-03-03,P007,online,p2p,processor_c,batch settlement delay,low,8,173.19,data insights,root cause found
